Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu01040:Biosynthesis of unsaturated fatty acids	10	2.28310502283105	3.9557245581895275E-6	ELOVL1, FADS2, ELOVL5, ELOVL2, TECR, ELOVL3, ELOVL6, ACAA1B, SCD1, FADS1	257	29	5496	7.3742117268214145	0.0011939178916139381	3.9820960552441247E-4	3.8238670729165436E-4
GOTERM_BP_DIRECT	GO:0071396~cellular response to lipid	7	1.5981735159817352	4.51941696359215E-6	MUP9, MUP16, MUP18, MUP11, MUP1, MUP2, MUP3	407	14	11449	14.065110565110565	0.010354262483915688	8.006320974732863E-4	7.888120838761991E-4
GOTERM_BP_DIRECT	GO:0034625~fatty acid elongation, monounsaturated fatty acid	5	1.141552511415525	7.575592923343692E-6	ELOVL1, ELOVL5, ELOVL2, ELOVL3, ELOVL6	407	5	11449	28.13022113022113	0.017295344912619637	0.0011631060334973682	0.0011459346895377892
GOTERM_BP_DIRECT	GO:0034626~fatty acid elongation, polyunsaturated fatty acid	5	1.141552511415525	7.575592923343692E-6	ELOVL1, ELOVL5, ELOVL2, ELOVL3, ELOVL6	407	5	11449	28.13022113022113	0.017295344912619637	0.0011631060334973682	0.0011459346895377892
INTERPRO	IPR002076:ELO_fam	5	1.141552511415525	7.891267542573825E-6	ELOVL1, ELOVL5, ELOVL2, ELOVL3, ELOVL6	416	5	11584	27.84615384615385	0.010791880957711664	0.0018084154785065016	0.001782111253364589
GOTERM_MF_DIRECT	GO:0009922~fatty acid elongase activity	5	1.141552511415525	8.46069559568818E-6	ELOVL1, ELOVL5, ELOVL2, ELOVL3, ELOVL6	415	5	11355	27.36144578313253	0.0072330224000276555	0.0014518553642200915	0.0014230889991947518
GOTERM_BP_DIRECT	GO:0045721~negative regulation of gluconeogenesis	8	1.82648401826484	1.0031267924463707E-5	MUP9, LEPR, MUP16, MUP18, MUP11, MUP1, MUP2, MUP3	407	23	11449	9.784424740946479	0.022837314943221165	0.0014425395221435505	0.0014212428031887606
KEGG_PATHWAY	mmu01200:Carbon metabolism	17	3.881278538812785	1.0683992725111588E-5	ACSS2, PKLR, GOT1, TALDO1, ENO1, PGD, FH1, ACAT2, GPI1, TKFC, G6PDX, ME1, DLAT, ALDOB, TKT, GAPDH, FBP1	257	99	5496	3.672208465982785	0.0032213832144037946	8.066414507459249E-4	7.745894725705902E-4
GOTERM_BP_DIRECT	GO:0010907~positive regulation of glucose metabolic process	7	1.5981735159817352	1.1343870737922659E-5	MUP9, MUP16, MUP18, MUP11, MUP1, MUP2, MUP3	407	16	11449	12.306971744471744	0.02578677502801341	0.0014425395221435505	0.0014212428031887606
GOTERM_BP_DIRECT	GO:0032355~response to estradiol	12	2.73972602739726	1.1381499181552667E-5	CASP9, COL1A1, GPI1, POSTN, ENDOG, MMP15, GSTP1, CASP3, IGFBP2, IHH, MAPK15, ASS1	407	63	11449	5.358137358137359	0.025871195996911567	0.0014425395221435505	0.0014212428031887606
